agent_id,strategy,is_bot,score,elo,reputation,adaptability
Bot_Aggressor,Aggressor,True,96,1403.95,0.00,0.00
Bot_Opportunist,Opportunist,True,88,1381.92,0.00,0.00
team_crash,Participant,False,60,1194.75,0.00,0.00
team_normal_10,Participant,False,60,1188.49,0.00,0.00
Bot_Cooperator,Cooperator,True,57,1181.94,0.00,0.00
team_hacker,Participant,False,57,1189.12,0.00,0.00
team_invalid,Participant,False,57,1185.93,0.00,0.00
team_normal_0,Participant,False,57,1188.46,0.00,0.00
team_normal_8,Participant,False,57,1204.08,0.00,0.00
team_infinite,Participant,False,54,1179.32,0.00,0.00
team_normal_1,Participant,False,54,1198.30,0.00,0.00
team_normal_12,Participant,False,54,1179.65,0.00,0.00
team_normal_13,Participant,False,54,1182.06,0.00,0.00
team_normal_14,Participant,False,54,1200.87,0.00,0.00
team_normal_3,Participant,False,54,1185.52,0.00,0.00
team_normal_4,Participant,False,54,1181.55,0.00,0.00
team_normal_7,Participant,False,54,1182.50,0.00,0.00
Bot_HiddenStressTest,HiddenStressTest,True,51,1174.71,0.00,0.00
team_normal_5,Participant,False,51,1205.05,0.00,0.00
team_normal_6,Participant,False,51,1199.69,0.00,0.00
team_normal_9,Participant,False,51,1200.50,0.00,0.00
Bot_TitForTat,TitForTat,True,47,1211.27,0.00,0.00
team_normal_11,Participant,False,45,1162.28,0.00,0.00
team_normal_2,Participant,False,45,1193.17,0.00,0.00
team_spam,Participant,False,45,1150.88,0.00,0.00
Bot_Random,Random,True,11,1094.04,0.00,0.00
